[T+0.000] PROPULSION SYSTEM TEST - MAIN ENGINE START
[T+0.010] VALVES:OPEN | IGN:ON | PYLD: 0x01F4 0x00A0
[T+0.020] VALVES:OPEN | IGN:ON | PYLD: 0x01F4 0x00A0
[T+0.030] VALVES:OPEN | IGN:ON | PYLD: 0x01F4 0x00A0
[T+0.040] VALVES:OPEN | IGN:ON | PYLD: 0x01F4 0x009F
[T+0.050] VALVES:OPEN | IGN:ON | PYLD: 0x01F4 0x009F
[T+0.060] VALVES:OPEN | IGN:ON | PYLD: 0x01F4 0x009F
[T+0.070] VALVES:OPEN | IGN:ON | PYLD: 0x01F3 0x009F
[T+0.080] VALVES:OPEN | IGN:ON | PYLD: 0x01F3 0x009F
[T+0.090] VALVES:OPEN | IGN:ON | PYLD: 0x01F3 0x009F
[T+0.100] VALVES:OPEN | IGN:ON | PYLD: 0x01F3 0x00A0
[T+0.110] VALVES:OPEN | IGN:ON | PYLD: 0x01F3 0x00A0
[T+0.120] VALVES:OPEN | IGN:ON | PYLD: 0x01F3 0x00A0
[T+0.130] VALVES:OPEN | IGN:ON | PYLD: 0x01F4 0x00A0
[T+0.140] VALVES:OPEN | IGN:ON | PYLD: 0x01F4 0x00A0
[T+0.150] VALVES:OPEN | IGN:ON | PYLD: 0x01F4 0x00A0
[T+0.160] VALVES:OPEN | IGN:ON | PYLD: 0x01F4 0x009F
[T+0.170] VALVES:OPEN | IGN:ON | PYLD: 0x01F4 0x009F
[T+0.180] VALVES:OPEN | IGN:ON | PYLD: 0x01F4 0x009F
[T+0.190] VALVES:OPEN | IGN:ON | PYLD: 0x01F3 0x009F
[T+0.200] VALVES:OPEN | IGN:ON | PYLD: 0x01F3 0x009F
[T+0.210] VALVES:OPEN | IGN:ON | PYLD: 0x01F3 0x009F
[T+0.220] VALVES:OPEN | IGN:ON | PYLD: 0x01F3 0x00A0
[T+0.230] VALVES:OPEN | IGN:ON | PYLD: 0x01F3 0x00A0
[T+0.240] VALVES:OPEN | IGN:ON | PYLD: 0x01F3 0x00A0
[T+0.250] VALVES:OPEN | IGN:ON | PYLD: 0x01F3 0x00A0
[T+0.260] VALVES:OPEN | IGN:ON | PYLD: 0x01F4 0x00A0
[T+0.270] VALVES:OPEN | IGN:ON | PYLD: 0x01F4 0x00A0
[T+0.280] VALVES:OPEN | IGN:ON | PYLD: 0x01F5 0x00A0
[T+0.290] VALVES:OPEN | IGN:ON | PYLD: 0x01F5 0x009F
[T+0.300] VALVES:OPEN | IGN:ON | PYLD: 0x01F5 0x009F
[T+0.310] VALVES:OPEN | IGN:ON | PYLD: 0x01F4 0x009F
[T+0.320] VALVES:OPEN | IGN:ON | PYLD: 0x01F3 0x009F
[T+0.330] VALVES:OPEN | IGN:ON | PYLD: 0x01F2 0x009F
[T+0.340] VALVES:OPEN | IGN:ON | PYLD: 0x01F1 0x009F
[T+0.350] VALVES:OPEN | IGN:ON | PYLD: 0x01F1 0x00A0
[T+0.360] VALVES:OPEN | IGN:ON | PYLD: 0x01F1 0x00A0
[T+0.370] VALVES:OPEN | IGN:ON | PYLD: 0x01F2 0x00A1
[T+0.380] VALVES:OPEN | IGN:ON | PYLD: 0x01F4 0x00A1
[T+0.390] VALVES:OPEN | IGN:ON | PYLD: 0x01F6 0x00A1
[T+0.400] VALVES:OPEN | IGN:ON | PYLD: 0x01F7 0x00A0
[T+0.410] VALVES:OPEN | IGN:ON | PYLD: 0x01F8 0x009F
[T+0.420] VALVES:OPEN | IGN:ON | PYLD: 0x01F7 0x009F
[T+0.430] VALVES:OPEN | IGN:ON | PYLD: 0x01F6 0x009E
[T+0.440] VALVES:OPEN | IGN:ON | PYLD: 0x01F3 0x009D
[T+0.450] VALVES:OPEN | IGN:ON | PYLD: 0x01F1 0x009E
[T+0.460] VALVES:OPEN | IGN:ON | PYLD: 0x01EF 0x009E
[T+0.470] VALVES:OPEN | IGN:ON | PYLD: 0x01ED 0x009F
[T+0.480] VALVES:OPEN | IGN:ON | PYLD: 0x01EE 0x00A1
[T+0.490] VALVES:OPEN | IGN:ON | PYLD: 0x01EF 0x00A2
[T+0.500] VALVES:OPEN | IGN:ON | PYLD: 0x01F3 0x00A2
[T+0.510] VALVES:OPEN | IGN:ON | PYLD: 0x01F6 0x00A2
[T+0.520] VALVES:OPEN | IGN:ON | PYLD: 0x01FA 0x00A2
[T+0.530] VALVES:OPEN | IGN:ON | PYLD: 0x01FC 0x00A0
[T+0.540] VALVES:OPEN | IGN:ON | PYLD: 0x01FC 0x009E
