[TEST START] TURBOPUMP INLET TELEMETRY
[WARN] SENSOR S1 (INLET_P) EXPERIENCING HIGH FREQUENCY INTERFERENCE
[T+0.010] INLET_P: 933.19 | PUMP_RPM: 94956 | BRG_TEMP: 120.9
[T+0.020] INLET_P: 292.74 | PUMP_RPM: 95008 | BRG_TEMP: 120.6
[T+0.030] INLET_P: 760.24 | PUMP_RPM: 94951 | BRG_TEMP: 120.0
[T+0.040] INLET_P: 640.39 | PUMP_RPM: 95027 | BRG_TEMP: 119.2
[T+0.050] INLET_P: 604.13 | PUMP_RPM: 94988 | BRG_TEMP: 120.6
[T+0.060] INLET_P: 489.07 | PUMP_RPM: 95038 | BRG_TEMP: 120.9
[T+0.070] INLET_P: 615.91 | PUMP_RPM: 94951 | BRG_TEMP: 120.1
[T+0.080] INLET_P: 395.42 | PUMP_RPM: 95043 | BRG_TEMP: 120.4
[T+0.090] INLET_P: 677.38 | PUMP_RPM: 95014 | BRG_TEMP: 119.0
[T+0.100] INLET_P: 786.07 | PUMP_RPM: 95025 | BRG_TEMP: 119.4
[T+0.110] INLET_P: 695.74 | PUMP_RPM: 94954 | BRG_TEMP: 119.1
[T+0.120] INLET_P: 693.59 | PUMP_RPM: 94973 | BRG_TEMP: 120.8
[T+0.130] INLET_P: 722.00 | PUMP_RPM: 94983 | BRG_TEMP: 120.4
[T+0.140] INLET_P: 765.30 | PUMP_RPM: 95013 | BRG_TEMP: 120.6
[T+0.150] INLET_P: 524.01 | PUMP_RPM: 95019 | BRG_TEMP: 119.9
[T+0.160] INLET_P: 781.88 | PUMP_RPM: 95027 | BRG_TEMP: 120.7
[T+0.170] INLET_P: 357.31 | PUMP_RPM: 95032 | BRG_TEMP: 120.2
[T+0.180] INLET_P: 926.29 | PUMP_RPM: 94984 | BRG_TEMP: 119.8
[T+0.190] INLET_P: 338.39 | PUMP_RPM: 94998 | BRG_TEMP: 119.9
[T+0.200] INLET_P: 250.13 | PUMP_RPM: 95029 | BRG_TEMP: 119.6
[T+0.210] INLET_P: 565.98 | PUMP_RPM: 95025 | BRG_TEMP: 119.2
[T+0.220] INLET_P: 447.08 | PUMP_RPM: 94972 | BRG_TEMP: 119.6
[T+0.230] INLET_P: 727.39 | PUMP_RPM: 94954 | BRG_TEMP: 119.8
[T+0.240] INLET_P: 358.46 | PUMP_RPM: 94975 | BRG_TEMP: 119.5
[T+0.250] INLET_P: 748.85 | PUMP_RPM: 95050 | BRG_TEMP: 119.5
[T+0.260] INLET_P: 413.19 | PUMP_RPM: 94978 | BRG_TEMP: 119.9
[T+0.270] INLET_P: 674.86 | PUMP_RPM: 94961 | BRG_TEMP: 119.2
[T+0.280] INLET_P: 474.52 | PUMP_RPM: 95027 | BRG_TEMP: 120.7
[T+0.290] INLET_P: 261.88 | PUMP_RPM: 95004 | BRG_TEMP: 120.2
[T+0.300] INLET_P: 323.06 | PUMP_RPM: 94996 | BRG_TEMP: 119.8
[T+0.310] INLET_P: 927.16 | PUMP_RPM: 94989 | BRG_TEMP: 120.0
[T+0.320] INLET_P: 642.74 | PUMP_RPM: 94978 | BRG_TEMP: 120.8
[T+0.330] INLET_P: 787.99 | PUMP_RPM: 94998 | BRG_TEMP: 119.7
[T+0.340] INLET_P: 634.41 | PUMP_RPM: 95030 | BRG_TEMP: 119.3
[T+0.350] INLET_P: 799.56 | PUMP_RPM: 94965 | BRG_TEMP: 119.1
[T+0.360] INLET_P: 316.21 | PUMP_RPM: 95007 | BRG_TEMP: 120.9
[T+0.370] INLET_P: 808.57 | PUMP_RPM: 94956 | BRG_TEMP: 120.4
[T+0.380] INLET_P: 580.95 | PUMP_RPM: 94997 | BRG_TEMP: 119.5
[T+0.390] INLET_P: 314.20 | PUMP_RPM: 94999 | BRG_TEMP: 119.3
[T+0.400] INLET_P: 308.77 | PUMP_RPM: 94964 | BRG_TEMP: 119.4
[T+0.410] INLET_P: 270.46 | PUMP_RPM: 95043 | BRG_TEMP: 119.1
[T+0.420] INLET_P: 726.50 | PUMP_RPM: 94961 | BRG_TEMP: 119.3
[T+0.430] INLET_P: 638.93 | PUMP_RPM: 94973 | BRG_TEMP: 120.3
[T+0.440] INLET_P: 915.54 | PUMP_RPM: 95034 | BRG_TEMP: 119.5
[T+0.450] INLET_P: 752.12 | PUMP_RPM: 94955 | BRG_TEMP: 119.6
[T+0.460] INLET_P: 267.21 | PUMP_RPM: 95042 | BRG_TEMP: 119.7
[T+0.470] INLET_P: 916.92 | PUMP_RPM: 95009 | BRG_TEMP: 119.1
[T+0.480] INLET_P: 308.38 | PUMP_RPM: 95000 | BRG_TEMP: 120.0
[T+0.490] INLET_P: 313.19 | PUMP_RPM: 95014 | BRG_TEMP: 120.8
[T+0.500] INLET_P: 855.30 | PUMP_RPM: 95013 | BRG_TEMP: 120.0
[T+0.510] INLET_P: 612.29 | PUMP_RPM: 95043 | BRG_TEMP: 119.7
[T+0.520] INLET_P: 941.96 | PUMP_RPM: 94993 | BRG_TEMP: 120.5
[T+0.530] INLET_P: 253.70 | PUMP_RPM: 95009 | BRG_TEMP: 120.5
[T+0.540] INLET_P: 857.68 | PUMP_RPM: 94960 | BRG_TEMP: 120.2
[T+0.550] INLET_P: 627.92 | PUMP_RPM: 95014 | BRG_TEMP: 119.8
[T+0.560] INLET_P: 870.56 | PUMP_RPM: 95000 | BRG_TEMP: 119.9
[T+0.570] INLET_P: 284.14 | PUMP_RPM: 94992 | BRG_TEMP: 119.4
[T+0.580] INLET_P: 507.53 | PUMP_RPM: 94959 | BRG_TEMP: 119.2
[T+0.590] INLET_P: 849.53 | PUMP_RPM: 94994 | BRG_TEMP: 119.2
[T+0.600] INLET_P: 376.30 | PUMP_RPM: 94966 | BRG_TEMP: 119.7
[T+0.610] INLET_P: 683.43 | PUMP_RPM: 94986 | BRG_TEMP: 119.9
[T+0.620] INLET_P: 384.92 | PUMP_RPM: 95029 | BRG_TEMP: 120.3
[T+0.630] INLET_P: 621.82 | PUMP_RPM: 95026 | BRG_TEMP: 119.3
[T+0.640] INLET_P: 617.74 | PUMP_RPM: 94960 | BRG_TEMP: 119.2
[T+0.650] INLET_P: 246.73 | PUMP_RPM: 95000 | BRG_TEMP: 119.1
[T+0.660] INLET_P: 822.20 | PUMP_RPM: 94960 | BRG_TEMP: 120.1
[T+0.670] INLET_P: 867.75 | PUMP_RPM: 95003 | BRG_TEMP: 120.1
[T+0.680] INLET_P: 587.48 | PUMP_RPM: 94994 | BRG_TEMP: 120.6
[T+0.690] INLET_P: 821.35 | PUMP_RPM: 95043 | BRG_TEMP: 120.2
[T+0.700] INLET_P: 605.40 | PUMP_RPM: 94971 | BRG_TEMP: 120.3
[T+0.710] INLET_P: 777.46 | PUMP_RPM: 95022 | BRG_TEMP: 120.4
[T+0.720] INLET_P: 336.25 | PUMP_RPM: 95020 | BRG_TEMP: 119.1
[T+0.730] INLET_P: 718.46 | PUMP_RPM: 95003 | BRG_TEMP: 120.5
[T+0.740] INLET_P: 275.69 | PUMP_RPM: 95041 | BRG_TEMP: 120.6
[T+0.750] INLET_P: 932.47 | PUMP_RPM: 95027 | BRG_TEMP: 120.6
[T+0.760] INLET_P: 742.47 | PUMP_RPM: 95038 | BRG_TEMP: 119.4
[T+0.770] INLET_P: 925.12 | PUMP_RPM: 95032 | BRG_TEMP: 120.5
[T+0.780] INLET_P: 478.84 | PUMP_RPM: 94988 | BRG_TEMP: 119.5
[T+0.790] INLET_P: 336.54 | PUMP_RPM: 94958 | BRG_TEMP: 119.2
[T+0.800] INLET_P: 910.09 | PUMP_RPM: 95006 | BRG_TEMP: 120.4
[T+0.810] INLET_P: 816.66 | PUMP_RPM: 95044 | BRG_TEMP: 119.4
[T+0.820] INLET_P: 738.46 | PUMP_RPM: 95048 | BRG_TEMP: 120.9
[T+0.830] INLET_P: 415.28 | PUMP_RPM: 95024 | BRG_TEMP: 119.7
[T+0.840] INLET_P: 772.39 | PUMP_RPM: 95011 | BRG_TEMP: 120.6
[T+0.850] INLET_P: 633.10 | PUMP_RPM: 95030 | BRG_TEMP: 120.6
[T+0.860] INLET_P: 350.83 | PUMP_RPM: 95012 | BRG_TEMP: 120.5
[T+0.870] INLET_P: 839.23 | PUMP_RPM: 95037 | BRG_TEMP: 119.4
[T+0.880] INLET_P: 336.48 | PUMP_RPM: 95023 | BRG_TEMP: 120.3
[T+0.890] INLET_P: 923.07 | PUMP_RPM: 95036 | BRG_TEMP: 120.1
[T+0.900] INLET_P: 686.34 | PUMP_RPM: 94962 | BRG_TEMP: 119.1
[T+0.910] INLET_P: 412.33 | PUMP_RPM: 94969 | BRG_TEMP: 120.6
[T+0.920] INLET_P: 582.41 | PUMP_RPM: 95042 | BRG_TEMP: 120.6
[T+0.930] INLET_P: 722.56 | PUMP_RPM: 95002 | BRG_TEMP: 120.8
[T+0.940] INLET_P: 484.97 | PUMP_RPM: 95000 | BRG_TEMP: 120.4
[T+0.950] INLET_P: 698.58 | PUMP_RPM: 94950 | BRG_TEMP: 119.6
[T+0.960] INLET_P: 431.57 | PUMP_RPM: 94997 | BRG_TEMP: 119.3
[T+0.970] INLET_P: 848.31 | PUMP_RPM: 94966 | BRG_TEMP: 120.9
[T+0.980] INLET_P: 573.35 | PUMP_RPM: 95007 | BRG_TEMP: 119.1
[T+0.990] INLET_P: 323.54 | PUMP_RPM: 95016 | BRG_TEMP: 119.1
[T+1.000] INLET_P: 385.20 | PUMP_RPM: 94961 | BRG_TEMP: 119.4
[T+1.010] INLET_P: 273.12 | PUMP_RPM: 94999 | BRG_TEMP: 120.8
[T+1.020] INLET_P: 498.16 | PUMP_RPM: 95004 | BRG_TEMP: 119.3
[T+1.030] INLET_P: 858.40 | PUMP_RPM: 94987 | BRG_TEMP: 120.6
[T+1.040] INLET_P: 743.98 | PUMP_RPM: 95029 | BRG_TEMP: 119.4
[T+1.050] INLET_P: 778.72 | PUMP_RPM: 94968 | BRG_TEMP: 120.7
[T+1.060] INLET_P: 355.39 | PUMP_RPM: 94968 | BRG_TEMP: 120.6
[T+1.070] INLET_P: 665.31 | PUMP_RPM: 94957 | BRG_TEMP: 120.2
[T+1.080] INLET_P: 934.08 | PUMP_RPM: 94994 | BRG_TEMP: 119.5
[T+1.090] INLET_P: 607.77 | PUMP_RPM: 94967 | BRG_TEMP: 119.9
[T+1.100] INLET_P: 715.06 | PUMP_RPM: 94988 | BRG_TEMP: 120.6
[T+1.110] INLET_P: 802.52 | PUMP_RPM: 95030 | BRG_TEMP: 120.8
[T+1.120] INLET_P: 532.87 | PUMP_RPM: 95009 | BRG_TEMP: 119.2
[T+1.130] INLET_P: 384.73 | PUMP_RPM: 94978 | BRG_TEMP: 120.6
[T+1.140] INLET_P: 494.39 | PUMP_RPM: 94992 | BRG_TEMP: 120.0
[T+1.150] INLET_P: 788.08 | PUMP_RPM: 94976 | BRG_TEMP: 119.5
[T+1.160] INLET_P: 916.60 | PUMP_RPM: 94952 | BRG_TEMP: 119.2
[T+1.170] INLET_P: 778.93 | PUMP_RPM: 95043 | BRG_TEMP: 120.4
[T+1.180] INLET_P: 896.83 | PUMP_RPM: 94994 | BRG_TEMP: 120.9
[T+1.190] INLET_P: 637.32 | PUMP_RPM: 95000 | BRG_TEMP: 120.2
[T+1.200] INLET_P: 594.19 | PUMP_RPM: 95028 | BRG_TEMP: 120.0
[T+1.210] INLET_P: 881.66 | PUMP_RPM: 94952 | BRG_TEMP: 120.0
[T+1.220] INLET_P: 640.54 | PUMP_RPM: 95021 | BRG_TEMP: 120.4
[T+1.230] INLET_P: 376.92 | PUMP_RPM: 95013 | BRG_TEMP: 119.4
[T+1.240] INLET_P: 387.26 | PUMP_RPM: 95001 | BRG_TEMP: 119.7
[T+1.250] INLET_P: 557.52 | PUMP_RPM: 95023 | BRG_TEMP: 119.3
[T+1.260] INLET_P: 494.41 | PUMP_RPM: 94977 | BRG_TEMP: 119.3
[T+1.270] INLET_P: 801.26 | PUMP_RPM: 94992 | BRG_TEMP: 120.4
[T+1.280] INLET_P: 785.94 | PUMP_RPM: 94987 | BRG_TEMP: 120.6
[T+1.290] INLET_P: 612.93 | PUMP_RPM: 95033 | BRG_TEMP: 119.0
[T+1.300] INLET_P: 358.15 | PUMP_RPM: 94959 | BRG_TEMP: 120.7
[T+1.310] INLET_P: 787.92 | PUMP_RPM: 94961 | BRG_TEMP: 120.0
[T+1.320] INLET_P: 289.66 | PUMP_RPM: 95021 | BRG_TEMP: 120.8
[T+1.330] INLET_P: 540.20 | PUMP_RPM: 94985 | BRG_TEMP: 119.1
[T+1.340] INLET_P: 640.52 | PUMP_RPM: 94950 | BRG_TEMP: 119.8
[T+1.350] INLET_P: 646.45 | PUMP_RPM: 95009 | BRG_TEMP: 119.6
[T+1.360] INLET_P: 899.07 | PUMP_RPM: 95044 | BRG_TEMP: 119.7
[T+1.370] INLET_P: 440.44 | PUMP_RPM: 95046 | BRG_TEMP: 120.0
[T+1.380] INLET_P: 762.44 | PUMP_RPM: 94953 | BRG_TEMP: 119.5
[T+1.390] INLET_P: 584.74 | PUMP_RPM: 94968 | BRG_TEMP: 120.9
[T+1.400] INLET_P: 255.48 | PUMP_RPM: 95023 | BRG_TEMP: 119.8
[T+1.410] INLET_P: 583.94 | PUMP_RPM: 95041 | BRG_TEMP: 119.5
[T+1.420] INLET_P: 789.19 | PUMP_RPM: 94988 | BRG_TEMP: 119.4
[T+1.430] INLET_P: 910.43 | PUMP_RPM: 95019 | BRG_TEMP: 119.2
[T+1.440] INLET_P: 370.74 | PUMP_RPM: 94979 | BRG_TEMP: 120.1
