╔═══════════════════════════════════════════════════════════════════════╗
║  NEXUS DEFENSE SYSTEMS — SWARM OPERATIONS CENTER                     ║
║  OPERATION: OVERWATCH | FLIGHT: ALPHA + BRAVO (2-SHIP FORMATION)     ║
║  OPERATOR: SGT. JAMES KOWALSKI                                       ║
║  STATUS: ■■ KINETIC IMPACT — INVESTIGATION REQUIRED ■■               ║
╚═══════════════════════════════════════════════════════════════════════╝

[PRE-FLIGHT BRIEFING — SGT. KOWALSKI]
Standard two-ship patrol. ALPHA runs a figure-8 survey pattern while
BRAVO holds a loiter overhead as relay. Both drones report telemetry
to this console every 100ms.

=== SWARM NETWORK INTERFACE START ===
LISTENING ON UDP PORT 14550...
[SYS] CLOCK SYNC PROTOCOL: ACTIVE | TOLERANCE: 5.0s | MODE: REJECT_STALE

[SEQ:00001] RECV | SYS_TS:50000.100 | CHK:0x15 | PLD:{"uav": "ALPHA", "t_local": 50000.099, "pos": [30.01, 10.05, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 24.0}
[SEQ:00002] RECV | SYS_TS:50000.200 | CHK:0x16 | PLD:{"uav": "ALPHA", "t_local": 50000.198, "pos": [30.02, 10.1, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 24.0}
[SEQ:00003] RECV | SYS_TS:50000.300 | CHK:0x17 | PLD:{"uav": "ALPHA", "t_local": 50000.297, "pos": [30.03, 10.15, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 24.0}
[SEQ:00004] RECV | SYS_TS:50000.400 | CHK:0x18 | PLD:{"uav": "ALPHA", "t_local": 50000.396, "pos": [30.04, 10.2, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 24.0}
[SEQ:00005] RECV | SYS_TS:50000.500 | CHK:0x19 | PLD:{"uav": "ALPHA", "t_local": 50000.495, "pos": [30.05, 10.25, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 24.0}
[SEQ:00005_B] RECV | SYS_TS:50000.500 | CHK:0x23 | PLD:{"uav": "BRAVO", "t_local": 50000.5, "pos": [12.0, 44.1, 20.0], "status": "LOITER"}
[SEQ:00006] RECV | SYS_TS:50000.600 | CHK:0x1A | PLD:{"uav": "ALPHA", "t_local": 50000.594, "pos": [30.06, 10.3, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 23.99}
[SEQ:00007] RECV | SYS_TS:50000.700 | CHK:0x1B | PLD:{"uav": "ALPHA", "t_local": 50000.693, "pos": [30.07, 10.34, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 23.99}
[SEQ:00008] RECV | SYS_TS:50000.800 | CHK:0x1C | PLD:{"uav": "ALPHA", "t_local": 50000.792, "pos": [30.08, 10.39, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 23.99}
[SEQ:00009] RECV | SYS_TS:50000.900 | CHK:0x1D | PLD:{"uav": "ALPHA", "t_local": 50000.891, "pos": [30.09, 10.43, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 23.99}
[SEQ:00010] RECV | SYS_TS:50001.000 | CHK:0x1E | PLD:{"uav": "ALPHA", "t_local": 50000.99, "pos": [30.1, 10.48, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 23.99}
[SEQ:00010_B] RECV | SYS_TS:50001.000 | CHK:0x28 | PLD:{"uav": "BRAVO", "t_local": 50001.0, "pos": [12.0, 44.1, 20.0], "status": "LOITER"}
[SEQ:00011] RECV | SYS_TS:50001.100 | CHK:0x20 | PLD:{"uav": "ALPHA", "t_local": 50001.089, "pos": [30.11, 10.52, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 23.99}
[SEQ:00012] RECV | SYS_TS:50001.200 | CHK:0x21 | PLD:{"uav": "ALPHA", "t_local": 50001.188, "pos": [30.12, 10.56, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 23.99}
[SEQ:00013] RECV | SYS_TS:50001.300 | CHK:0x22 | PLD:{"uav": "ALPHA", "t_local": 50001.287, "pos": [30.13, 10.61, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 23.99}
[SEQ:00014] RECV | SYS_TS:50001.400 | CHK:0x23 | PLD:{"uav": "ALPHA", "t_local": 50001.386, "pos": [30.14, 10.64, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 23.99}
[SEQ:00015] RECV | SYS_TS:50001.500 | CHK:0x24 | PLD:{"uav": "ALPHA", "t_local": 50001.485, "pos": [30.15, 10.68, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 23.98}
[SEQ:00015_B] RECV | SYS_TS:50001.500 | CHK:0x2E | PLD:{"uav": "BRAVO", "t_local": 50001.5, "pos": [12.0, 44.1, 20.0], "status": "LOITER"}
[SEQ:00016] RECV | SYS_TS:50001.600 | CHK:0x25 | PLD:{"uav": "ALPHA", "t_local": 50001.584, "pos": [30.16, 10.72, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 23.98}
[SEQ:00017] RECV | SYS_TS:50001.700 | CHK:0x26 | PLD:{"uav": "ALPHA", "t_local": 50001.683, "pos": [30.17, 10.75, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 23.98}
[SEQ:00018] RECV | SYS_TS:50001.800 | CHK:0x27 | PLD:{"uav": "ALPHA", "t_local": 50001.782, "pos": [30.18, 10.78, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 23.98}
[SEQ:00019] RECV | SYS_TS:50001.900 | CHK:0x28 | PLD:{"uav": "ALPHA", "t_local": 50001.881, "pos": [30.19, 10.81, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 23.98}
[SEQ:00020] RECV | SYS_TS:50002.000 | CHK:0x29 | PLD:{"uav": "ALPHA", "t_local": 50001.98, "pos": [30.2, 10.84, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 23.98}
[SEQ:00020_B] RECV | SYS_TS:50002.000 | CHK:0x33 | PLD:{"uav": "BRAVO", "t_local": 50002.0, "pos": [12.0, 44.1, 20.0], "status": "LOITER"}
[SEQ:00021] RECV | SYS_TS:50002.100 | CHK:0x2B | PLD:{"uav": "ALPHA", "t_local": 50002.079, "pos": [30.21, 10.87, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 23.98}
[SEQ:00022] RECV | SYS_TS:50002.200 | CHK:0x2C | PLD:{"uav": "ALPHA", "t_local": 50002.178, "pos": [30.22, 10.89, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 23.98}
[SEQ:00023] RECV | SYS_TS:50002.300 | CHK:0x2D | PLD:{"uav": "ALPHA", "t_local": 50002.277, "pos": [30.23, 10.91, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 23.98}
[SEQ:00024] RECV | SYS_TS:50002.400 | CHK:0x2E | PLD:{"uav": "ALPHA", "t_local": 50002.376, "pos": [30.24, 10.93, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 23.98}
[SEQ:00025] RECV | SYS_TS:50002.500 | CHK:0x2F | PLD:{"uav": "ALPHA", "t_local": 50002.475, "pos": [30.25, 10.95, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 23.98}
[SEQ:00025_B] RECV | SYS_TS:50002.500 | CHK:0x39 | PLD:{"uav": "BRAVO", "t_local": 50002.5, "pos": [12.0, 44.1, 20.0], "status": "LOITER"}
[SEQ:00026] RECV | SYS_TS:50002.600 | CHK:0x30 | PLD:{"uav": "ALPHA", "t_local": 50002.574, "pos": [30.26, 10.96, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 23.97}
[SEQ:00027] RECV | SYS_TS:50002.700 | CHK:0x31 | PLD:{"uav": "ALPHA", "t_local": 50002.673, "pos": [30.27, 10.98, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 23.97}
[SEQ:00028] RECV | SYS_TS:50002.800 | CHK:0x32 | PLD:{"uav": "ALPHA", "t_local": 50002.772, "pos": [30.28, 10.99, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 23.97}
[SEQ:00029] RECV | SYS_TS:50002.900 | CHK:0x33 | PLD:{"uav": "ALPHA", "t_local": 50002.871, "pos": [30.29, 10.99, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 23.97}
[SEQ:00030] RECV | SYS_TS:50003.000 | CHK:0x34 | PLD:{"uav": "ALPHA", "t_local": 50002.97, "pos": [30.3, 11.0, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 23.97}
[SEQ:00030_B] RECV | SYS_TS:50003.000 | CHK:0x3E | PLD:{"uav": "BRAVO", "t_local": 50003.0, "pos": [12.0, 44.1, 20.0], "status": "LOITER"}
[SEQ:00031] RECV | SYS_TS:50003.100 | CHK:0x36 | PLD:{"uav": "ALPHA", "t_local": 50003.069, "pos": [30.31, 11.0, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 23.97}
[SEQ:00032] RECV | SYS_TS:50003.200 | CHK:0x37 | PLD:{"uav": "ALPHA", "t_local": 50003.168, "pos": [30.32, 11.0, 15.5], "vel": [0.1, 0.0, 0.0], "prox": 0, "bat": 23.97}
